"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R6","RESC1608X55N","11.125mm","6.625mm","11.125mm","6.625mm","11.125mm","5.775mm","T","90.00","Thick Film"
"R5","RESC1608X55N","8.75mm","6.625mm","8.75mm","6.625mm","8.75mm","5.775mm","T","90.00","Thick Film"
"PROG","ICSP_Pads","10.23mm","12.96mm","11.5mm","15.5mm","8.96mm","15.5mm","B","180.00","ISP"
"R4","RESC1608X55N","6.375mm","6.625mm","6.375mm","6.625mm","6.375mm","7.475mm","T","270.00","Thick Film"
"R3","RESC1608X55N","4.125mm","5mm","4.125mm","5mm","4.125mm","5.85mm","T","270.00","Thick Film"
"P1","SM04B-SRSS-TB","19.075mm","9.5mm","17.125mm","11mm","17.125mm","10mm","T","0.00","JST-SH 4P"
"R2","RESC1608X55N","4.125mm","13.625mm","4.125mm","13.625mm","4.125mm","12.775mm","T","90.00","Thick Film"
"R1","RESC1608X55N","2mm","13.625mm","2mm","13.625mm","2mm","14.475mm","T","270.00","Thick Film"
"Q1","SFH3100F-footprint","3.912mm","0.752mm","4.81mm","1.65mm","4.81mm","1.65mm","T","225.00","SFH3100F"
"LED1","LED-0603-RED","2mm","9.375mm","2mm","9.375mm","2mm","10.225mm","T","270.00","Red"
"L1","SMD-0603","13.375mm","6.625mm","13.375mm","6.625mm","13.375mm","7.4mm","T","270.00","7447965"
"U1","20M1_N","9.25mm","12.625mm","9.25mm","12.625mm","10.25mm","14.625mm","T","270.00","ATtiny44A-MU"
"D2","LED-2.54spacing","19.477mm","0.648mm","20.375mm","-0.25mm","18.5789mm","1.5461mm","T","135.00","GL480E"
"D1","LED-2.54spacing","15.602mm","1.398mm","16.5mm","0.5mm","14.704mm","2.2961mm","T","135.00","GL480E"
"C3","CAPC1608X90N","2mm","5mm","2mm","5mm","2mm","4.15mm","T","90.00","approved sub OK"
"C2","CAPC1608X90N","4.125mm","9.375mm","4.125mm","9.375mm","4.125mm","10.225mm","T","270.00","approved sub OK"
"C1","CAPE_PANASONIC_FTV","9.875mm","1.5mm","9.875mm","1.5mm","12.175mm","1.5mm","T","360.00","CAPE 100uF 16V"

