Altium Designer Pick and Place Locations
G:\Git\z-probe\Source\Outputs\Pick Place for ir_probe.csv

========================================================================================================================
File Design Information:

Date:       05/03/19
Time:       21:27
Revision:   8b9359d8a0406397fb7689030eba2bd5c9da6632
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"R9","TopLayer","-2.0500","8.5000","90"
"R8","TopLayer","1.6000","8.5000","90"
"R7","BottomLayer","1.8000","1.3000","180"
"R4","BottomLayer","-1.7000","1.3000","360"
"Q2","BottomLayer","8.8000","2.4000","270"
"LD5","BottomLayer","5.3000","1.3000","180"
"LD4","BottomLayer","-5.2000","1.3000","180"
"Q1","TopLayer","-7.5000","2.3000","225"
"LD3","TopLayer","-9.5000","10.3000","270"
"LD2","TopLayer","8.7000","2.3000","135"
"LD1","TopLayer","5.0000","2.8000","135"
"F1","TopLayer","8.3000","16.2000","180"
"D2","TopLayer","1.0000","12.8244","90"
"D1","TopLayer","3.0500","16.2000","180"
"C1","TopLayer","-1.3000","2.6000","270"
"C2","TopLayer","-7.8000","14.0000","270"
"C3","TopLayer","-7.8000","6.7000","270"
"U1","TopLayer","-4.0000","14.3000","270"
"L1","TopLayer","4.1000","14.2000","180"
"R1","TopLayer","-7.8000","10.3000","90"
"R2","TopLayer","-9.5000","6.7000","270"
"P1","TopLayer","8.2750","11.0000","0"
"F2","TopLayer","-0.2250","8.5000","270"
"R5","TopLayer","-5.7000","8.5000","90"
"R6","TopLayer","-3.8750","8.5000","90"
