"Bill of Material for "
"On 11-Sep-15 at 9:44:10 PM"

"Comment","Pattern","Quantity","Components"

"100µ","6.3-DIA-CAP","1","C1","Capacitor THD Electrolytic 100uF 20% 16V Radial"
"100n","CAPC1005X55N","1","C2","Capacitor SMD Cer 100nF 10% 16V X5R 0402"
"1n","CAPC1005X55N","1","C3","Capacitor SMD Cer 1nF 10% 16V X7R 0402"
"7447965","SMD-0603","1","L1","SMD-Multilayer Inductor WE-MI, L = 1.00 µH"
"ATtiny45-20SH","8S2_N","1","U1","8-bit AVR Microcontroller, 20MHz, 2.7-5.5V, 4K Flash, 256 Bytes EEPROM, 256 Bytes SRAM, Industrial Grade (-40°C to 85°C), 8-Lead SOIC, Pb-Free"
"GL480E","LED-2.54spacing","2","D1, D2","GL480E"
"Header 4","JST-4P","1","P2","Header, 4-Pin"
"ICSP","HDR2X3","1","P1","Header, 3-Pin, Dual row"
"Red","LED-0603-RED","1","LED1","LED 0603 SMD Hyper Red 630nm 220mcd 20mA"
"SFH3100F","SFH3100F-footprint","1","Q1","GL480E"
"Thick Film","RESC1608X55N","6","R1, R2, R3, R4, R5, R6","Resistor SMD chip 2.2k Ohm 0.1W 5% 0603"
